id,k,name,number,author,year,length,width,material,view,imglink,color_label
0,1,期望 Expectations,AlmaTedema001,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1885,45,66.1,油彩．畫布 ,5246,https://www.ss.net.tw/img?o=QWxtYVRlZGVtYTAwMS5qcGc=,"['white', 'blue']"
0,2,希臘婦女 A Greek Women,AlmaTedema002,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1869,58.5,46,油彩．畫板 ,4074,https://www.ss.net.tw/img?o=QWxtYVRlZGVtYTAwMi5qcGc=,"['red', 'orange']"
0,3,無知的對手 Unconscious Rivals,AlmaTedema003,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1893,45.1,62.8,油彩．畫布 ,4799,https://www.ss.net.tw/img?o=QWxtYVRlZGVtYTAwMy5qcGc=,"['red', 'orange']"
0,4,最佳位置 A Coign of Vantage,AlmaTedema004,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1895,64,44.5,油彩．畫布 ,3776,https://www.ss.net.tw/img?o=QWxtYVRlZGVtYTAwNC5qcGc=,"['gray', 'white', 'orange', 'blue']"
0,5,黑利阿迦八魯斯的玫瑰 The Roses of Heliogabalus,AlmaTedema005,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1888,132.1,213.9,油彩．畫布 ,2881,https://www.ss.net.tw/img?o=QWxtYVRlZGVtYTAwNS5qcGc=,"['red', 'orange']"
0,6,銀色最愛 Silver Favorites,AlmaTedema006,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1903,69.1,42.2,油彩．畫布 ,2246,https://www.ss.net.tw/img?o=QWxtYVRlZGVtYTAwNi5qcGc=,"['white', 'red', 'orange', 'blue']"
0,7,粗心的傾訴 Unwelcome Confidences,AlmaTedema007,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1902,38.1,22.86,油彩．畫板 ,2395,https://www.ss.net.tw/img?o=QWxtYVRlZGVtYTAwNy5qcGc=,"['black', 'white', 'red', 'orange']"
0,8,祝福一路平安 God Speed,AlmaTedema008,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1893,25.4,12.7,油彩．畫板 ,3763,https://www.ss.net.tw/img?o=QWxtYVRlZGVtYTAwOC5qcGc=,"['red', 'orange', 'blue']"
0,9,安東尼相遇克莉奧佩特拉 The Meeting of Antony and Cleopatra,AlmaTedema009,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1885,65.4,91.4,油彩．畫板 ,3775,https://www.ss.net.tw/img?o=QWxtYVRlZGVtYTAwOS5qcGc=,"['black', 'red', 'orange']"
0,10,奧古斯都時期的收藏家 The Collector Of Pictures At The Time Of Augustus,AlmaTedema010,亞瑪泰得瑪 Sir Lawrence Alma Tadema,1867,71,46.4,油彩．畫板 ,3153,https://www.ss.net.tw/img?o=QWxtYVRlZGVtYTAxMC5qcGc=,"['black', 'gray', 'red', 'orange']"
